unix,low,high,open,close,volume,date,vol_fiat
1587600000,2.31,2.5899,2.339,2.4993,6343851.19,2020-04-23,15855187.279167
1587513600,2.1334,2.3508,2.1511,2.339,3334631.52,2020-04-22,7799703.12528
1587427200,2.0853,2.216,2.1311,2.1511,2965000.56,2020-04-21,6378012.704616
1587340800,2.0613,2.3699,2.2503,2.1314,5531661.81,2020-04-20,11790183.981834
1587254400,2.211,2.3786,2.3328,2.2515,3266621.17,2020-04-19,7354797.564255
1587168000,2.0762,2.38,2.0894,2.3328,4620526.61,2020-04-18,10778764.475808002
1587081600,2.064,2.16,2.11,2.09,3226274.65,2020-04-17,6742914.018499999
1586995200,1.8342,2.15,1.9007,2.0959,5279957.73,2020-04-16,11066263.406307
1586908800,1.8851,1.9822,1.9477,1.9024,2685973.96,2020-04-15,5109796.861504001
1586822400,1.9053,2.0072,1.9406,1.9477,2385224.31,2020-04-14,4645701.388587
1586736000,1.8627,2.0186,2.0055,1.9425,3556738.79,2020-04-13,6908965.099575
1586649600,1.8933,2.0698,1.98,1.9994,3954808.53,2020-04-12,7907244.174882
1586563200,1.8889,2.051,1.9112,1.9786,3961722.4,2020-04-11,7838663.94064
1586476800,1.826,2.1179,2.1061,1.9107,7338820.03,2020-04-10,14022283.431321
1586390400,2.0,2.1799,2.1481,2.1083,5030565.93,2020-04-09,10605942.150218999
1586304000,1.9206,2.1824,1.9591,2.1483,5490011.3,2020-04-08,11794191.275789998
1586217600,1.8604,2.1223,1.917,1.9566,8425745.5,2020-04-07,16485813.645299999
1586131200,1.665,1.9231,1.666,1.9119,5203312.46,2020-04-06,9948213.092273999
1586044800,1.6625,1.7096,1.6992,1.666,1387544.93,2020-04-05,2311649.8533799998
1585958400,1.6612,1.7327,1.6772,1.6994,1516461.01,2020-04-04,2577073.840394
1585872000,1.6419,1.7825,1.6701,1.6772,2864819.33,2020-04-03,4804874.980276
1585785600,1.5963,1.7999,1.614,1.6708,5005444.05,2020-04-02,8363095.91874
1585699200,1.5205,1.6325,1.6076,1.6125,2069107.44,2020-04-01,3336435.747
1585612800,1.5532,1.6424,1.6081,1.611,1892308.96,2020-03-31,3048509.73456
1585526400,1.461,1.665,1.4675,1.6077,2626418.2,2020-03-30,4222492.54014
1585440000,1.4664,1.5804,1.5693,1.4698,2250825.26,2020-03-29,3308262.9671479994
1585353600,1.5052,1.6226,1.5896,1.5655,3872624.59,2020-03-28,6062593.7956449995
1585267200,1.5713,1.7897,1.7645,1.5897,3969087.96,2020-03-27,6309659.130011999
